Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest,Category
https://www.screener.in/company/MOTHERSON/consolidated/,157.49,37.79,29.14,5.4,3.18,110835.98,13.94,12.46,15.17,32.62,44.38,0.43,9.71,0.49,4145.7,54.02,LC,MOTHERSON,1,LC
https://www.screener.in/company/INDHOTEL/consolidated/,776.85,15.2,65.43,13.4,9.91,110607.99,17.5,16.4,23.13,35.99,66.67,0.25,7.55,0.28,2038.09,73.15,LC,INDHOTEL,1,LC
https://www.screener.in/company/TATACONSUM/consolidated/,1115.6,12.41,87.44,12.92,5.52,110458.41,9.16,7.01,15.87,-6.12,73.42,0.08,7,0.12,1287.1,77.67,LC,TATACONSUM,1,LC
https://www.screener.in/company/DRREDDY/consolidated/,1320.9,7.62,19.5,67.77,3.29,110283.03,23.13,18.3,16.54,2.59,23.29,0.94,17.55,0.14,5725.2,48.03,LC,DRREDDY,1,LC
https://www.screener.in/company/RECLTD/consolidated/,415,57.59,6.88,60.32,1.39,109278.8,9.96,21.5,18.62,12.27,3.94,3.13,21.33,6.33,15884.23,-71.98,LC,RECLTD,1,LC
https://www.screener.in/company/HDFCAMC/,5087.5,1.4,44.18,115.11,13.37,108733.02,43.33,32.35,28.2,26.47,39.22,0.73,28.91,0,2461.05,61.91,LC,HDFCAMC,1,LC
https://www.screener.in/company/IDBI/consolidated/,100.93,100.39,14.23,7.1,1.76,108556.2,6.76,13.54,9.35,33.15,16.67,0.95,9.35,5.35,7656.32,103.48,LC,IDBI,1,LC
https://www.screener.in/company/SHREECEM/consolidated/,29600,8.28,95.08,311.18,4.96,106757.6,6.74,5.32,-6.03,-53.36,49.44,0.06,10.48,0.05,1123.8,108.78,LC,SHREECEM,1,LC
https://www.screener.in/company/TORNTPHARM/consolidated/,3154.3,13.84,55.32,56.47,14.06,106674.65,27.22,26.69,7.35,21.92,43.9,0.48,22.68,0.42,1911,69.04,LC,TORNTPHARM,1,LC
https://www.screener.in/company/ADANIENSOL/consolidated/,884.1,379.42,47.66,8.82,4.81,106223.66,10.23,12.84,43.11,112.75,100.02,0.27,11.9,1.83,921.69,112.31,LC,ADANIENSOL,1,LC
https://www.screener.in/company/INDUSTOWER/consolidated/,391.1,29.12,10.62,36.85,3.24,105481.31,29.22,33.36,5.32,70.51,13.47,3.14,25.31,0.65,9931.7,92.71,LC,INDUSTOWER,1,LC
https://www.screener.in/company/CANBK/consolidated/,115.71,41.92,5.98,19.34,1,104938.47,6.79,17.75,10.03,14.91,5.98,2.97,14.03,14.67,17691.9,56.93,LC,CANBK,1,LC
https://www.screener.in/company/BAJAJHFL/,125.66,50.01,48.4,2.6,5.25,104678.54,9.54,13.44,25.71,24.89,48.67,0.28,13.08,4.11,2162.9,-194.24,LC,BAJAJHFL,1,LC
https://www.screener.in/company/CGPOWER/consolidated/,681.6,28.33,107.16,6.37,27.11,104263.67,38.09,28.36,23.15,-29.95,74.25,0.26,,0.01,972.98,64.38,LC,CGPOWER,1,LC
https://www.screener.in/company/APOLLOHOSP/consolidated/,6942.5,8.68,69.05,100.56,12.16,99842.83,17.12,19.09,14.35,65.16,90.32,0.28,13.99,0.96,1505.1,65.63,LC,APOLLOHOSP,1,LC
https://www.screener.in/company/ICICIGI/,2006.2,14.74,39.73,50.6,6.87,99649.24,24.86,18.8,16.95,30.61,43.77,0.47,17.9,0,2508.29,34.54,LC,ICICIGI,1,LC
https://www.screener.in/company/MUTHOOTFIN/consolidated/,2446.2,0.98,18.43,132.84,3.34,98272.48,13.14,19.58,34.21,23.34,14.09,1.06,20.73,3.38,5352.36,-178.29,LC,MUTHOOTFIN,1,LC
https://www.screener.in/company/JINDALSTEL/consolidated/,962.75,13.95,27.42,27.57,2.08,98172.81,10.84,7.83,-1.17,-38.93,14.1,0.29,12.16,0.39,2845.68,112.13,LC,JINDALSTEL,1,LC
https://www.screener.in/company/NAUKRI/consolidated/,1507.2,22.01,109.81,14.85,2.8,97671.15,5.28,2.73,12.35,67.16,140,0.02,4.44,0.01,1309.9,45.26,MC,NAUKRI,1,MC
https://www.screener.in/company/MANKIND/consolidated/,2352.4,29.86,48.83,48.26,6.77,96992.45,17.93,16.77,18.12,9.86,49.75,0.34,20.87,0.59,2011.12,67.66,MC,MANKIND,1,MC
https://www.screener.in/company/ZYDUSLIFE/consolidated/,960.15,37.93,20.71,44.97,4.03,96623.66,24.44,21.31,18.9,20.88,23.2,1.03,20.88,0.13,4672.6,92.48,MC,ZYDUSLIFE,1,MC
