Transaction Date,Company Name,Symbol,Exchange,Type,Quantity,Price,Tax/Charges,Brokerage,Remarks
Jun 12 2023,Pidilite Inds.,PIDILITIND,NSE,Buy,10,2628,33.1,10,Buy Trade
May 04 2023,Pidilite Inds.,PIDILITIND,NSE,Buy,12,2456.85,36.86,10,Buy Trade
Apr 24 2023,Pidilite Inds.,PIDILITIND,NSE,Buy,8,2419.95,24.82,10,Buy Trade
Oct 06 2023,Punj. NationlBak,PNB,NSE,Sell,1400,77.25,114.32,10,Sell Trade
Jul 19 2023,Punj. NationlBak,PNB,NSE,Buy,500,62.45,38.95,10,Buy Trade
Jun 12 2023,Punj. NationlBak,PNB,NSE,Buy,300,51.25,20.12,10,Buy Trade
May 22 2023,Punj. NationlBak,PNB,NSE,Buy,600,50.6,37.88,10,Buy Trade
Oct 17 2023,Rajesh Exports L,RAJESHEXPO,NSE,Buy,65,457.45,37.27,10,Buy Trade
Jul 28 2023,Rajesh Exports L,RAJESHEXPO,NSE,Buy,43,507.34,27.7,10,Buy Trade
Jul 17 2023,Rajesh Exports L,RAJESHEXPO,NSE,Buy,39,522.48,26.58,10,Buy Trade
Jun 19 2023,Rajesh Exports L,RAJESHEXPO,NSE,Buy,48,624.78,37.11,10,Buy Trade
May 02 2024,RBL Bank,RBLBANK,NSE,Buy,190,266.85,62.16,10,Buy Trade
Apr 04 2024,RBL Bank,RBLBANK,NSE,Buy,85,255.55,27.66,10,Buy Trade
Apr 03 2024,RBL Bank,RBLBANK,NSE,Buy,310,249.7,93.94,10,Buy Trade
Jun 12 2023,Relaxo Footwears,RELAXO,NSE,Buy,28,905.31,31.99,10,Buy Trade
May 17 2023,Relaxo Footwears,RELAXO,NSE,Buy,57,881.19,61.54,10,Buy Trade
Apr 19 2023,RELETFNM150,RELETFNM150,NSE,Sell,285,120.1,3.48,10,Sell Trade
Apr 03 2023,RELETFNM150,RELETFNM150,NSE,Buy,285,116.06,8.04,10,Buy Trade
Jul 12 2023,Reliance Inds.,RELIANCE,NSE,Sell,31,2767.81,91.22,10,Sell Trade
Jun 12 2023,Reliance Inds.,RELIANCE,NSE,Buy,10,2472.73,31.26,10,Buy Trade
May 17 2023,Reliance Inds.,RELIANCE,NSE,Sell,21,2437.05,55,10,Sell Trade
May 09 2023,Reliance Inds.,RELIANCE,NSE,Buy,20,2466.5,60.48,10,Buy Trade
May 03 2023,Reliance Inds.,RELIANCE,NSE,Buy,9,2424.35,27.75,10,Buy Trade
Apr 25 2023,Reliance Inds.,RELIANCE,NSE,Buy,13,2353.6,39,10,Buy Trade
Jun 24 2024,Repco Home Finance L,REPCOHOME,NSE,Buy,65,529.13,42.74,10,Buy Trade
Jun 12 2023,Rossari Biotech,ROSSARI,NSE,Buy,12,841.5,13.82,10,Buy Trade
Jun 08 2023,Rossari Biotech,ROSSARI,NSE,Buy,24,845.85,25.64,10,Buy Trade
Feb 14 2024,SBI,SBIN,NSE,Sell,344,746.79,269.31,10,Sell Trade
Oct 23 2023,SBI,SBIN,NSE,Buy,180,561.85,121.65,10,Buy Trade
Aug 18 2023,SBI,SBIN,NSE,Buy,75,571.55,52.76,10,Buy Trade
Aug 07 2023,SBI,SBIN,NSE,Buy,89,568.15,62.29,10,Buy Trade
Oct 30 2023,SBI Cards and Pay,SBICARD,NSE,Buy,102,750,92.95,10,Buy Trade
Mar 07 2024,SBI ETF PB,SBIETFPB,NSE,Buy,390,242.03,19.8,10,Buy Trade
Mar 04 2024,SBI ETF PB,SBIETFPB,NSE,Buy,130,239.52,7.74,10,Buy Trade
Jun 10 2024,Sheela Foam,SFL,NSE,Buy,107,947.9,122.53,10,Buy Trade
