Type,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Latest,Stock,Max,Diff%
Profit,21250.0,17390.0,22007.0,23917.0,28142.0,28765.0,NTPC,28765.0,0.0
Sales,396728.0,303849.0,491246.0,632291.0,643037.0,645790.0,ONGC,645790.0,0.0
Profit,18962.0,30126.0,54091.0,43051.0,76860.0,66388.0,ONGC,76860.0,13.62
Sales,2438.0,1842.0,2072.0,2893.0,3139.0,3147.0,PARAGMILK,3147.0,0.0
Profit,127.0,41.0,-522.0,51.0,86.0,97.0,PARAGMILK,148.0,34.46
Sales,13068.0,12809.0,7726.0,8981.0,10110.0,9265.0,PEL,13068.0,29.1
Profit,1982.0,3456.0,2405.0,5900.0,-3278.0,-3712.0,PEL,5900.0,162.92
Sales,3366.0,4577.0,5300.0,6492.0,7666.0,7824.0,PIIND,7824.0,0.0
Profit,614.0,938.0,1033.0,1444.0,1895.0,2016.0,PIIND,2016.0,0.0
Sales,37744.0,39640.0,41622.0,45603.0,45843.0,45801.0,POWERGRID,45843.0,0.09
Profit,14590.0,15501.0,19610.0,17702.0,18514.0,18899.0,POWERGRID,19610.0,3.63
Sales,1102.0,1305.0,2343.0,3528.0,3466.0,3429.0,PRAJIND,3528.0,2.81
Profit,83.0,113.0,205.0,319.0,377.0,407.0,PRAJIND,407.0,0.0
Sales,3414.0,280.0,1329.0,3751.0,6107.0,5993.0,PVRINOX,6107.0,1.87
Profit,90.0,-939.0,-681.0,-209.0,-44.0,-174.0,PVRINOX,299.0,158.19
Sales,10991.0,10837.0,13692.0,17158.0,19100.0,19503.0,QUESS,19503.0,0.0
Profit,-384.0,185.0,358.0,284.0,295.0,352.0,QUESS,358.0,1.68
Sales,195600.0,258306.0,243128.0,339690.0,280676.0,255343.0,RAJESHEXPO,339690.0,24.83
Profit,1261.0,894.0,1038.0,1478.0,367.0,69.0,RAJESHEXPO,1478.0,95.33
Sales,4885.0,4539.0,4148.0,4679.0,6350.0,6713.0,RBLBANK,6713.0,0.0
Profit,747.0,712.0,-206.0,1221.0,1349.0,1406.0,RBLBANK,1406.0,0.0
Sales,825.0,807.0,690.0,701.0,846.0,876.0,REPCOHOME,876.0,0.0
Profit,360.0,390.0,260.0,401.0,525.0,542.0,REPCOHOME,542.0,0.0
Sales,600.0,709.0,1483.0,1656.0,1831.0,1910.0,ROSSARI,1910.0,0.0
Profit,88.0,107.0,136.0,144.0,178.0,185.0,ROSSARI,185.0,0.0
Sales,956.0,1406.0,2002.0,3569.0,4023.0,4159.0,ROUTE,4159.0,0.0
Profit,69.0,162.0,195.0,382.0,455.0,448.0,ROUTE,455.0,1.54
Sales,61664.0,69114.0,103477.0,104448.0,105378.0,105017.0,SAIL,105378.0,0.34
Profit,3302.0,7206.0,16292.0,2892.0,4062.0,3872.0,SAIL,16292.0,76.23
Sales,8512.0,6939.0,6242.0,5636.0,5307.0,5262.0,SAMMAANCAP,9726.0,45.9
Profit,2561.0,1562.0,1556.0,1606.0,1646.0,1689.0,SAMMAANCAP,5604.0,69.86
Sales,487.0,431.0,699.0,805.0,934.0,977.0,SHALBY,977.0,0.0
Profit,57.0,55.0,79.0,102.0,128.0,126.0,SHALBY,128.0,1.56
Sales,2003.0,2396.0,3580.0,4045.0,3163.0,3310.0,SHARDACROP,4045.0,18.17
Profit,185.0,309.0,464.0,431.0,72.0,207.0,SHARDACROP,464.0,55.39
Sales,12868.0,13560.0,15010.0,17852.0,20521.0,20548.0,SHREECEM,20548.0,0.0
Profit,1934.0,3004.0,2892.0,1495.0,2959.0,2565.0,SHREECEM,3004.0,14.61
Sales,1038.0,1566.0,2131.0,2676.0,3185.0,3345.0,SONACOMS,3345.0,0.0
Profit,387.0,300.0,432.0,509.0,671.0,711.0,SONACOMS,711.0,0.0
Sales,3743.0,4228.0,5553.0,7449.0,8613.0,9125.0,SONATSOFTW,9125.0,0.0
Profit,379.0,352.0,500.0,597.0,461.0,449.0,SONATSOFTW,597.0,24.79
Sales,7209.0,8400.0,12434.0,14870.0,13139.0,13264.0,SRF,14870.0,10.8
Profit,1018.0,1612.0,2586.0,2824.0,1692.0,1550.0,SRF,2824.0,45.11
Sales,32838.0,33498.0,38654.0,43886.0,48497.0,49209.0,SUNPHARMA,49209.0,0.0
Profit,5010.0,2799.0,4481.0,9408.0,11088.0,12030.0,SUNPHARMA,12030.0,0.0
Sales,3520.0,3177.0,3585.0,3772.0,4282.0,4245.0,SUNTV,4282.0,0.86
Profit,1819.0,1941.0,2195.0,2278.0,2613.0,2539.0,SUNTV,2613.0,2.83
Sales,2973.0,3346.0,6582.0,5971.0,6529.0,7200.0,SUZLON,7200.0,0.0
Profit,-2684.0,105.0,0.0,2892.0,659.0,861.0,SUZLON,2892.0,70.23
Sales,1943.0,2341.0,3206.0,3355.0,3928.0,4019.0,TANLA,4019.0,0.0
Profit,-237.0,415.0,674.0,567.0,683.0,687.0,TANLA,687.0,0.0
Sales,17068.0,17100.0,16725.0,17838.0,20969.0,21831.0,TATACOMM,21831.0,0.0
Profit,140.0,1609.0,2000.0,2063.0,1163.0,1076.0,TATACOMM,2063.0,47.84
Sales,9637.0,11602.0,12425.0,13783.0,15206.0,15817.0,TATACONSUM,15817.0,0.0
Profit,809.0,1311.0,1456.0,1794.0,1696.0,1654.0,TATACONSUM,1794.0,7.8
Sales,29136.0,32703.0,42816.0,55109.0,61449.0,63529.0,TATAPOWER,63529.0,0.0
Profit,1958.0,1941.0,2535.0,5457.0,5732.0,5747.0,TATAPOWER,5747.0,0.0
Sales,139817.0,156294.0,243959.0,243353.0,229171.0,224453.0,TATASTEEL,243959.0,8.0
Profit,-1395.0,13844.0,50227.0,18235.0,-1147.0,-626.0,TATASTEEL,50227.0,101.25
Sales,5201.0,4881.0,6480.0,7870.0,9322.0,9730.0,TEAMLEASE,9730.0,0.0
Profit,83.0,89.0,46.0,115.0,118.0,112.0,TEAMLEASE,118.0,5.08
Sales,36868.0,37855.0,44646.0,53290.0,51996.0,51842.0,TECHM,53290.0,2.72
Profit,5058.0,5953.0,7452.0,6446.0,3224.0,3431.0,TECHM,7452.0,53.96
Sales,1317.0,1258.0,1536.0,1854.0,1931.0,1936.0,TIDEWATER,1936.0,0.0
Profit,161.0,185.0,160.0,147.0,187.0,195.0,TIDEWATER,195.0,0.0
Sales,7939.0,8005.0,8508.0,9620.0,10728.0,10996.0,TORNTPHARM,10996.0,0.0
Profit,1187.0,1526.0,1226.0,1847.0,2352.0,2477.0,TORNTPHARM,2477.0,0.0
Sales,4728.0,4531.0,6998.0,6332.0,6809.0,7058.0,TRIDENT,7058.0,0.0
Profit,421.0,398.0,1116.0,579.0,477.0,457.0,TRIDENT,1116.0,59.05
Sales,2073.0,2194.0,2722.0,2777.0,2678.0,2678.0,TTKPRESTIG,2777.0,3.56
Profit,234.0,317.0,411.0,343.0,301.0,292.0,TTKPRESTIG,411.0,28.95
Sales,5175.0,4498.0,5526.0,5912.0,8976.0,8869.0,TV18BRDCST,8976.0,1.19
Profit,502.0,703.0,1016.0,127.0,-159.0,-365.0,TV18BRDCST,1016.0,135.93
Sales,35756.0,38694.0,46240.0,53576.0,43098.0,43202.0,UPL,53576.0,19.36
Profit,2764.0,4181.0,4966.0,5150.0,-2087.0,-2480.0,UPL,5150.0,148.16
Sales,854.0,1169.0,1319.0,1267.0,1737.0,1798.0,UTIAMC,1798.0,0.0
Profit,341.0,603.0,660.0,586.0,987.0,1040.0,UTIAMC,1040.0,0.0
Sales,1986.0,2540.0,2752.0,2691.0,3041.0,3139.0,VAIBHAVGBL,3139.0,0.0
Profit,236.0,344.0,271.0,141.0,182.0,179.0,VAIBHAVGBL,344.0,47.97
Sales,675.0,755.0,1153.0,1052.0,723.0,689.0,VALIANTORG,1153.0,40.24
Profit,168.0,185.0,176.0,137.0,-9.0,-26.0,VALIANTORG,185.0,114.05
Sales,2503.0,2721.0,3500.0,4127.0,4857.0,5119.0,VGUARD,5119.0,0.0
Profit,250.0,288.0,294.0,256.0,340.0,387.0,VGUARD,387.0,0.0
Sales,7658.0,7556.0,7934.0,9499.0,12481.0,14042.0,VOLTAS,14042.0,0.0
Profit,744.0,709.0,697.0,307.0,486.0,734.0,VOLTAS,744.0,1.34
Sales,1548.0,986.0,1576.0,2278.0,2392.0,2394.0,WESTLIFE,2394.0,0.0
Profit,-9.0,-129.0,-2.0,149.0,96.0,60.0,WESTLIFE,149.0,59.73
Sales,5993.0,5900.0,6197.0,6668.0,6830.0,7288.0,WHIRLPOOL,7288.0,0.0
Profit,667.0,470.0,650.0,297.0,307.0,405.0,WHIRLPOOL,667.0,39.28
Sales,2493.0,2245.0,3378.0,4921.0,4448.0,4269.0,WSTCSTPAPR,4921.0,13.25
Profit,397.0,-26.0,420.0,1478.0,1053.0,838.0,WSTCSTPAPR,1478.0,43.3
Sales,19258.0,12611.0,12528.0,14800.0,19527.0,20564.0,YESBANK,20564.0,0.0
Profit,-20838.0,-4762.0,1434.0,981.0,1538.0,1766.0,YESBANK,2349.0,24.82
Sales,8130.0,7730.0,8186.0,8088.0,8637.0,8784.0,ZEEL,8784.0,0.0
Profit,956.0,1256.0,1400.0,264.0,323.0,552.0,ZEEL,2434.0,77.32
Sales,91.0,91.0,136.0,187.0,242.0,263.0,TIPSINDLTD,263.0,0.0
Profit,14.0,59.0,89.0,106.0,171.0,192.0,TIPSINDLTD,192.0,0.0
Sales,426.0,385.0,372.0,476.0,540.0,472.0,TASTYBITE,540.0,12.59
Profit,53.0,53.0,14.0,41.0,56.0,22.0,TASTYBITE,56.0,60.71
Sales,276.0,366.0,357.0,437.0,626.0,688.0,SURYODAY,688.0,0.0
Profit,154.0,12.0,238.0,373.0,288.0,317.0,SURYODAY,373.0,15.01
Sales,4987.0,5050.0,10602.0,12096.0,14021.0,14544.0,STARHEALTH,14544.0,0.0
Profit,413.0,-1446.0,-1397.0,826.0,1129.0,1171.0,STARHEALTH,1171.0,0.0
Sales,1354.0,1305.0,2153.0,2204.0,2376.0,2472.0,SPORTKING,2472.0,0.0
Profit,18.0,118.0,547.0,190.0,96.0,115.0,SPORTKING,547.0,78.98
Sales,43798.0,81913.0,82983.0,80636.0,131988.0,138746.0,SBILIFE,138746.0,0.0
Profit,1790.0,1640.0,1687.0,1906.0,2078.0,2242.0,SBILIFE,2242.0,0.0
Sales,1301.0,1043.0,1027.0,1648.0,2595.0,2791.0,SBICARD,2791.0,0.0
Profit,1730.0,1324.0,2172.0,3031.0,3232.0,3234.0,SBICARD,3234.0,0.0
Sales,2152.0,2239.0,2611.0,2425.0,2193.0,2225.0,PFIZER,2611.0,14.78
Profit,642.0,669.0,773.0,824.0,746.0,823.0,PFIZER,824.0,0.12
Sales,2946.0,2833.0,3886.0,4714.0,4582.0,4624.0,PAGEIND,4714.0,1.91
Profit,462.0,453.0,709.0,758.0,756.0,769.0,PAGEIND,769.0,0.0
Sales,2197.0,1647.0,2159.0,2384.0,1919.0,2347.0,JCHAC,2384.0,1.55
Profit,118.0,43.0,23.0,-105.0,-99.0,4.0,JCHAC,132.0,96.97
